number,name,year,venue,task,data_experiment,data_ground_truth,data_params,data_version,experiment_source_code,experiment_ref_source_code,experiment_external_source_code,experiment_exp_source_code,experiment_setup,experiment_hw,experiment_sw,experiment_results,experiment_runtime,method_problem,method_objective,method_contribution,method_research,method_pseudo_code,method_params,method_params_description,method_repro,data_repro,experiment_repro,M_REPRO_CHECK,D_REPRO_CHECK,E_REPRO_CHECK
1,CrowdER: Crowdsourcing Entity Resolution,2012,PVLDB,ER,TRUE,TRUE,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.8095238095,TRUE,TRUE,TRUE
2,Load Balancing for MapReduce-based Entity Resolution,2012,ICDE,ER,FALSE,FALSE,,,FALSE,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.5,0.7380952381,TRUE,TRUE,TRUE
3,"Scaling Entity Resolution to Large, Heterogeneous Data with Enhanced Meta-blocking",2016,EDBT,ER,TRUE,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.8571428571,0.9285714286,0.9285714286,TRUE,TRUE,TRUE
4,BLAST: a Loosely Schema-aware Meta-blocking Approach for Entity Resolution,2016,PVLDB,ER,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,1,1,1,TRUE,TRUE,TRUE
6,Corleone: hands-off crowdsourcing for entity matching,2014,SIGMOD,EM,TRUE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.8571428571,0.6785714286,0.5595238095,TRUE,TRUE,TRUE
7,Reference reconciliation in complex information spaces,2005,SIGMOD,EM,TRUE,TRUE,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.7619047619,TRUE,TRUE,TRUE
8,Active sampling for entity matching,2012,KDD,EM,TRUE,TRUE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.7777777778,TRUE,TRUE,TRUE
9,Learning domain-independent string transformation weights for high accuracy object identification,2002,KDD,EM,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.75,0.6203703704,TRUE,TRUE,TRUE
10,Learning Expressive Linkage Rules using Genetic Programming,2012,PVLDB,EM,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.9523809524,TRUE,TRUE,TRUE
13,Synthesizing Entity Matching Rules by Examples,2017,PVLDB,EM,TRUE,TRUE,,,FALSE,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.9047619048,TRUE,TRUE,TRUE
14,Similarity flooding: a versatile graph matching algorithm and its application to schema matching,2002,ICDE,SMAT,TRUE,TRUE,,,FALSE,,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.8571428571,0.9285714286,0.7380952381,TRUE,TRUE,TRUE
15,COMA - A System for Flexible Combination of Schema Matching Approaches,2002,VLDB,SMAT,TRUE,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.8571428571,0.6785714286,0.623015873,TRUE,TRUE,TRUE
17,Data Curation at Scale: The Data Tamer System,2013,CIDR,SMAT,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.4285714286,0.2142857143,0.3095238095,TRUE,TRUE,TRUE
18,Generic Schema Matching with Cupid,2001,VLDB,SMAT,TRUE,TRUE,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.8571428571,0.9285714286,0.6904761905,TRUE,TRUE,TRUE
20,Finding related tables,2012,SIGMOD,SMAT,TRUE,TRUE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.7777777778,TRUE,TRUE,TRUE
21,Reducing Uncertainty of Schema Matching via Crowdsourcing,2013,PVLDB,SMAT,FALSE,FALSE,,,FALSE,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.5,0.6904761905,TRUE,TRUE,TRUE
22,Reconciling schemas of disparate data sources: a machine-learning approach,2001,SIGMOD,SMAT,FALSE,FALSE,,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.5,0.7083333333,TRUE,TRUE,TRUE
23,On schema matching with opaque column names and data values,2003,SIGMOD,SMAT,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,0.8,0.4,0.4833333333,TRUE,TRUE,TRUE
24,Corpus-based schema matching,2005,ICDE,SMAT,FALSE,FALSE,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.5,0.5952380952,TRUE,TRUE,TRUE
25,Schema matching using duplicates,2005,ICDE,SMAT,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.8333333333,0.6851851852,TRUE,TRUE,TRUE
26,Synthesizing Mapping Relationships Using Table Corpus,2017,SIGMOD,SMAP,TRUE,TRUE,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.8095238095,TRUE,TRUE,TRUE
27,Online Entity Resolution Using an Oracle,2016,PVLDB,ER,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.8333333333,TRUE,TRUE,TRUE
28,Collective entity resolution in relational data,2006,TKDD,ER,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.8571428571,0.9285714286,0.7619047619,TRUE,TRUE,TRUE
30,Incremental Record Linkage,2014,PVLDB,ER,TRUE,TRUE,,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.875,TRUE,TRUE,TRUE
31,Magellan: Toward Building Entity Matching Management Systems,2016,PVLDB,EM,TRUE,TRUE,,,TRUE,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,1,1,0.8571428571,TRUE,TRUE,TRUE
32,Large-Scale Collective Entity Matching,2011,PVLDB,EM,TRUE,TRUE,,,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,1,1,0.9166666667,TRUE,TRUE,TRUE
33,Designing and refining schema mappings via data examples,2011,SIGMOD,SMAP,TRUE,TRUE,,,FALSE,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.8571428571,TRUE,TRUE,TRUE
36,Sample-driven schema mapping,2012,SIGMOD,SMAP,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,0.8,0.7333333333,0.7333333333,TRUE,TRUE,TRUE